nome,sku,preco,descricao
Boné Aberto Tommy Jeans Aba Curva Logo Rosa,TO616ACF20HQT,"134,99","Aba: Curva
Composição: 100% Algodão
Medidas: Altura 15cm x Circunferência 60cm
Características: Possui logo frontal

URBANO E PRÁTICO: Bonés são peças coringas para completar o visual ou até mesmo salvar no bad hair day; E engana-se quem acredita ser uma peça somente para atividade física. Com os mais variados modelos, os bonés viraram protagonistas para quem curte o estilo street. O shape aba reta inspirado nos rappers americanos garante um visual urbano e despojado, além da clássica e atemporal aba curva que nunca sai de moda.

Fundada em 1985, a Tommy Jeans é especializada em designs modernos dos clássicos da Tommy Hilfiger, trazendo um visual cool, urbano e old-school com uma variedade de coleções! As camisetas são o carro chefe da linha, são uma ótima opção para compor looks jovens e versáteis como parte de sua roupa para o fim de semana ou simplesmente para uma noite em casa. "
Bolsa Colcci Bolso Off-White,CO515ACF12CDN,"199,99","Composição: 100% Poliuretano
Medidas: Altura 32cm x Largura 45cm x Profundidade 18cm e alça com 51cm.
Características: Possui um bolso externo e logo em relevo

A QUERIDINHA DAS ESTAÇÕES: A bolsa é um item indispensável no guarda-roupa da mulher moderna, é uma grande aliada no dia a dia e extremamente versátil ao transitar de uma ocasião a outra. A dica é apostar naquele modelo básico e neutro que vai com qualquer roupa, ou se preferir para ocasiões especiais, os modelos com brilhos, texturas e estampas mostram sua personalidade e estilo!

Há 30 anos a Colcci é considerada uma das marcas mais influentes da moda brasileira, graças aos seus produtos que aliam qualidade, sofisticação e informação de moda. A marca é um Must-Have de qualquer guarda-roupa, e conta com peças para todas as ocasiões. "
Calça Lez a Lez Reta Alfaiataria Rosa,LE116APF18OBH,"199,99","Fecho: Zíper e Colchete
Bolsos: 4
Altura da Cintura: Alta
Detalhes: Acompanha cinto.

Medidas da peça no tamanho P:
• Cintura: 70cm
• Quadril: 100cm
• Gancho: 36cm
• Comprimento: 102cm
(Medidas com elasticidade)

Medidas do Modelo: Altura: 1,76m/ Busto: 89cm/ Cintura: 62cm/ Quadril: 91cm

CLÁSSICA E VERSÁTIL: A calça RETA possui uma modelagem mais ajustada no quadril e segue um corte reto do joelho a barra, valoriza e alonga a silhueta e possui diversas opções desde lisas, estonadas e com acabamento destroyed. Combine com blusas lisas, estampadas, jaquetas, tênis ou botas, use e abuse da criatividade!

CONFORTO E SOFISTICAÇÃO: As calças de tecidos são ótimas para compor aquele look casual ou de trabalho, com cortes retos e mais estruturados. Porém, são super versáteis e podem se transformar em looks despojados para curtir o happy hour em segundos! Basta adicionar uma camiseta estampada, brincar com texturas e acessórios e trocar o salto por um tênis ou bota.

A Lez a Lez é uma marca urban beach, reconhecida pelas estampas exclusivas, que reúnem a sofisticação com o universo descolado. A combinação perfeita entre a leveza da praia e a modernidade da cidade. "
Bolsa Santa Lolla Tressê Caramelo,SA232ACF74BSN,"239,99","Interior: 1 Bolso
Composição: 100% Sintético
Medidas: Altura 15cm x Largura 26cm x Profundidade 9cm e alça com 127cm.
Características: Possui pendente com logo da marca

A QUERIDINHA DAS ESTAÇÕES: A bolsa é um item indispensável no guarda-roupa da mulher moderna, é uma grande aliada no dia a dia e extremamente versátil ao transitar de uma ocasião a outra. A dica é apostar naquele modelo básico e neutro que vai com qualquer roupa, ou se preferir para ocasiões especiais, os modelos com brilhos, texturas e estampas mostram sua personalidade e estilo!

TOQUE FASHION: O Tressê é um acabamento trançado feito com tiras de materiais sintéticos ou naturais, que agrega um toque artesanal, rústico e de personalidade a quem usa!

A Santa Lolla nasceu com a missão de trazer informação de moda para mulheres de todos os estilos e idades, antecipando e criando tendências. Os calçados e acessórios da marca são Must-Have cheios de elegância, atitude e conforto, prontos para te acompanhar no dia a dia. "
Calça Jeans Lança Perfume Mom Destroyed Azul,LA906APF76HZV,"149,99","Fecho: Botão e Zíper
Bolsos: 5
Altura da Cintura: Alta

Medidas da peça no tamanho 36:
• Cintura: 72cm
• Quadril: 106cm
• Gancho: 35cm
• Comprimento: 100cm
Medidas do Modelo: Altura: 1,78m/ Busto: 84cm/ Cintura: 61cm/ Quadril: 94cm

A VINTAGE OBRIGATÓRIA NO GUARDA-ROUPA: a modelagem acinturada e soltinha na região do quadril da MOM valoriza a silhueta e combina com diversas composições. Aposte com blusas básicas e tênis para um look casual ou para um visual mais sofisticado, com saltos e acessórios.

O TECIDO QUE AMAMOS: O jeans é um tecido queridinho no guarda-roupa atual! Por ser feito de algodão, é mais grosso, pesado e resistente, garantindo uma modelagem no corpo mais assertiva e que valoriza todos os biotipos. Ele é encontrado em diversos produtos, como calças, saias, bermudas, shorts e até mesmo jaquetas, é extremamente versátil e curinga. Ótimo para montar looks casuais ou formais, basta usar a criatividade pois as combinações são inúmeras!

A Lança Perfume é referência no segmento fashion brasileiro, com peças ricas em detalhes e estilo, criada para mulheres que querem se destacar. "
Tênis Adidas Originals Stan Smith W Preseaso Branco,AD464SCF40NVV,"389,99","Bico: Redondo
Características: Possui detalhe Stan Smith na lingueta, recortes coloridos e perfuros laterais

End Plastic Waste - Produtos criados com materiais reciclados, para serem refeitos e desenvolvidos com a natureza. Nós vemos as possibilidades de fazer com que o melhor para o atleta seja melhor para o planeta, ajudando a acabar com o lixo plástico, para termos sempre onde praticar esportes.


DEMOCRÁTICO E CONFORTÁVEL: Item indispensável para quem busca estilo e conforto, os tênis são perfeitos para todos os momentos da vida. Com modelos diversos, podem ser usados em diversas composições, que vão do street ao casual.

ESTILOSO E DEMOCRÁTICO: Os materiais sintéticos são produzidos a partir de compostos químicos, sendo uma ótima alternativa para quem deseja dispensar o uso de produtos de origem animal. Além disso, oferecem conforto e não deixam de lado o estilo!

Sobre a marca: Os produtos adidas Originals aliam tradição e modernidade em suas peças, sempre com o trefoil característico em destaque. "
Camisa Inspira Sustentável Ampla LENZING™ Modal com Linho Off-White,IN627APF98ZPH,"184,99","Camisa Inspira Sustentável Ampla Sem Gênero LENZING™ Modal com Linho Off-White
Modelagem: Oversized
Gola: Ponta
Manga: 3/4
Fecho: Botão
Estilo: Fashion
Detalhe: Camisa Minimalista, com modelagem ampla, com vista dupla que cobre os botões, com prega nas costas, feita de LENZING™ Modal com Linho. Esta peça foi criada, desenvolvida e produzida por brasileiros.

A fibra com certificado LENZING™ Modal é feita a partir de matéria-prima renovável, colhida em florestas geridas de forma sustentável. Com processo de produção eco-responsável, economia e de água e energia renovável atendendo a altos padrões ambientais, sendo também uma fibra biodegradável. O linho é um tecido natural e renovável, extremamente durável em comparação com aos convencionais e de alta qualidade.

Medidas da peça no tamanho P:
- Ombro: 23cm
- Ombro a ombro: 57cm
- Comprimento da manga: 33cm
- Largura da manga: 38cm
- Comprimento da peça: 83cm
- Busto: 138cm

(Medidas sem elasticidade)

CLÁSSICA E ELEGANTE: As camisas são peças obrigatórias em qualquer guarda-roupa, pois são super fáceis de combinar e dão automaticamente aquele ar arrumado ao look. Mas se engana quem acredita que ela não pode compor looks mais descontraídos. Basta usá-la de formas diferentes, como deixar um lado solto e outro dentro da calça ou até mesmo adicionar acessórios mais pesados para um visual diferente!

A Inspira foi criada para te vestir com conforto e qualidade, além de te acompanhar em todos os momentos de vida da forma mais sustentável possível.
Nós acreditamos que uma moda consciente e atemporal pode ser elegante, contemporânea, autêntica e livre. Se inspire! "
Tênis adidas Originals Superstar Slip On Preto,AD464SCF72QTB,"349,99","Bico: Redondo
Possui elásticos transpassados no cabedal e detalhe lateral com logo em relevo

Os produtos adidas Originals aliam tradição e modernidade em suas peças, sempre com o trefoil característico em destaque.

Superstar sabe tudo sobre evolução. Ele estreou nas quadras de basquete, depois dominou os palcos e inundou as ruas em uma completa revolução cultural. Hoje, ele dispensa os cadarços, tornando seu famoso estilo despojado ainda mais fácil de calçar. Solado de Borracha que garante maior durabilidade, estabilidade e aderência, com biqueira ""shell toe"", que garante proteção e estilo. O Superstar oferece uma construção em borracha elástica com cabedal em tecido para dar mais firmeza aos movimentos dos pés, trazendo seu grande destaque: sem cadarço!"
Short Cotton On Biker Preto,CO069APF30JWB,"99,99","Altura da Cintura: Alta
Estilo: Fitness

TRENDY E ATEMPORAL: Perfeitos para compor looks de verão e esportivos e ao mesmo tempo ficar confortável e com estilo! Aposte com blusas, t-shirts mais fluidas e leves, tênis ou sandálias e acessórios, como bolsas coloridas para criar um visual moderno!

Fundada em 1991, a Cotton On é uma marca Australiana de roupas e acessórios. Suas coleções contam com as últimas tendências do mundo da moda voltada para o público jovem, que gosta de estar sempre antenado, buscando peças com personalidade, looks descomplicados e acessíveis!"
Short Cotton On Biker Amarração Verde,CO069SRF76XSH,"84,99","Altura da Cintura: Alta
Detalhes: Possui amarração frontal.
Estilo: Fitness

CONFORTO E DESEMPENHO: Para a hora do treino, nada melhor do que estar confortável, não é mesmo? O short esportivo é seu aliado nesses momentos, além de ser fresquinho e respirável, garante ainda a sustentação para um treino mais seguro e confortável, complementando o look com muito estilo e personalidade!

LEVEZA E FLEXIBILIDADE: A malha é um tecido leve e flexível, resultado da tricotagem do tecido. Extremamente confortável, macia ao toque e versátil, é a queridinha para confecção de camisetas, blusas e vestidos, além de ter uma alta durabilidade, perfeita para compor um guarda-roupa minimalista e duradouro.

Fundada em 1991, a Cotton On é uma marca Australiana de roupas e acessórios. Suas coleções contam com as últimas tendências do mundo da moda voltada para o público jovem, que gosta de estar sempre antenado, buscando peças com personalidade, looks descomplicados e acessíveis! "
